,eval/front,eval/sparsity,losses/policy_loss,losses/critic_loss,_runtime,global_step,eval/cardinality,_step,eval/eum,_timestamp,eval/hypervolume
40,,,-58.02204132080078,2.3558907508850098,173.263812666,17900,,170,,1736532577.2502382,
41,,,-56.91143035888672,31.154438018798828,175.761737579,18200,,173,,1736532579.7481759,
42,,,-55.56654739379883,2.6547536849975586,179.931061519,18700,,178,,1736532583.9174938,
43,,,-51.09653854370117,3.7171268463134766,180.765138187,18800,,179,,1736532584.75158,
44,,,-55.418861389160156,5.308228015899658,182.430972337,19000,,181,,1736532586.4173996,
45,,,-55.04204177856445,2.145887851715088,187.433896041,19600,,187,,1736532591.4203281,
46,,,-57.59403610229492,3.6740646362304688,189.939727286,19900,,190,,1736532593.9261594,
47,"{'ncols': 2, 'nrows': 18, 'path': 'media/table/eval/front_192_ddd734101e63fb2f884e.table.json', 'sha256': 'ddd734101e63fb2f884e709c4fe459bb7919bff86807d2c86c6fd319087049fb', 'size': 790, 'artifact_path': 'wandb-client-artifact://u2dx18rrqq85xjycodb10i9piddgdelqzmq4vjiqdp2ohk1mcbq75r6xf9avneznfxsg9sez59rmz5k1t98kv6ekn8zn2bc5wtpxyjfz6bh8q5bl7rzr8el6qu76f2cz/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://gvt8zvu8dchj41ogjx1rh9pd79hfgl2cri3a5cz8jrl608stnvl9kfns614stj3549nd5j6k8ptcpjjmsu5xde3ijibhua76tpbynttafrqa4djad6matmj6lkxcnshh:latest/eval/front.table.json', '_type': 'table-file'}",89.2641744407424,,,273.693997716,20000,18.0,192,112.05314690086152,1736532677.6804457,47638.36824157059
48,,,-52.35301971435547,2.156017780303955,275.363072669,20200,,194,,1736532679.3494985,
49,,,-54.7640380859375,16.90728187561035,278.711594108,20600,,198,,1736532682.6980212,
50,,,-59.08009338378906,2.440812826156616,282.080917683,21000,,202,,1736532686.0673466,
51,,,-61.01834487915039,3.2259786128997803,291.366956712,22100,,213,,1736532695.3533897,
