"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/eum","algo: CAPQL - eval/eum__MIN","algo: CAPQL - eval/eum__MAX"
"1800000","18026","18026","18026","211.6271951629998","42.99039314943721","359.2366256638785"
"1850000","18527","18527","18527","217.40274683351072","57.10471034332063","353.5209822304247"
"1900000","19028","19028","19028","224.54276045419888","59.201693097943405","363.21641698514185"
"1950000","19529","19529","19529","228.49622478443848","64.90867521236876","363.5855273524012"
"2000000","20030","20030","20030","232.9652295260969","66.11230945006747","374.2282240660229"
"2050000","20531","20531","20531","237.32146013178408","70.00585573456452","370.6505917488311"
"2100000","21032","21032","21032","239.63762121763864","72.76420732908511","370.5068356548139"
"2150000","21533","21533","21533","240.32821347895688","73.69506208691936","374.4047727230453"
"2200000","22034","22034","22034","244.424190916291","73.93010887580573","385.5724993043373"
"2250000","22535","22535","22535","242.62041371940734","75.19208052903856","371.6140300547084"
"2300000","23036","23036","23036","244.20548578433673","75.99046039949322","381.0000369193433"
"2350000","23537","23537","23537","248.50720335089923","78.57601852095486","384.10373545528654"
"2400000","24038","24038","24038","248.53983243650706","78.1168858677629","384.4459063552568"
"2450000","24539","24539","24539","252.20728608201384","79.67813087247731","389.5138870198643"
"2500000","25040","25040","25040","252.88264000220133","81.71976974411228","384.4923341329939"
"2550000","25541","25541","25541","252.01769993882007","83.03829255419669","388.6787007551664"
"2600000","26042","26042","26042","259.39192829756934","82.15800496155704","400.7710617637785"
"2650000","26543","26543","26543","256.381024496605","84.89411887085836","393.3754044827402"
"2700000","27044","27044","27044","259.59643926129905","84.73643254605491","397.2849771474661"
"2750000","27545","27545","27545","255.1249169918659","84.8348461879513","385.50050731492723"
"2800000","28046","28046","28046","261.7312030585501","85.938480096731","396.96526172448904"
"2850000","28547","28547","28547","263.73104875509546","85.18084927556804","402.86721528673354"
"2900000","29048","29048","29048","262.1156781590614","87.52195790337726","401.4251672555732"
"2950000","29549","29549","29549","265.4399625287946","88.43036778208361","403.1395063113872"
"3000000","30050","30050","30050","264.6759114443235","88.07576012269205","397.1718363407394"
"3050000","30551","30551","30551","265.5355812416014","88.84567772671868","401.0039681778455"
"3100000","31052","31052","31052","268.6667607174605","89.17289942195835","405.2155929635605"
"3150000","31553","31553","31553","267.7709238730916","90.80504999520818","401.8108713962631"
"3200000","32054","32054","32054","271.5391375726815","90.94064502149348","409.351667470858"
"3250000","32555","32555","32555","272.85414927451376","93.02236152604245","414.5577595897493"
"3300000","33056","33056","33056","267.7869003393178","91.3397916043797","401.0146670235897"
"3350000","33557","33557","33557","272.3835577804378","91.42983483925555","411.86929653213593"
"3400000","34058","34058","34058","272.8220826551806","90.6723610615354","413.5652184980764"
"3450000","34559","34559","34559","273.3331077080757","92.65146750406699","408.2126677390331"
