"Step","algo: CAPQL - eval/hypervolume","algo: CAPQL - eval/hypervolume__MIN","algo: CAPQL - eval/hypervolume__MAX","algo: PGMORL - eval/hypervolume","algo: PGMORL - eval/hypervolume__MIN","algo: PGMORL - eval/hypervolume__MAX"
"27044","51855.32117643987","26647.75132095544","71223.577866056","","",""
"27545","50937.806911843414","26636.739555742097","69334.93430223268","","",""
"28046","51749.20776932559","26708.83666211061","70454.82059712287","","",""
"28547","52152.7832086971","26676.708582003615","71918.53814339654","","",""
"28557","","","","21336.998890669784","20213.74147540575","21934.346022868922"
"29048","52177.166150324374","27051.09991414053","71650.76574063498","","",""
"29549","52549.28969434957","27228.49722889265","71370.66789987395","","",""
"30050","52402.52862854786","27262.852520510227","70053.67335487876","","",""
"30551","52634.539046893326","27391.52194861052","70878.71209198063","","",""
"30757","","","","21689.13925889928","20216.46807456404","22909.048662538564"
"31052","53120.10607640842","27409.278775603943","71335.91163241456","","",""
"31553","52855.81575053292","27546.050358623965","70645.48297323867","","",""
"32054","52703.74131488881","27607.510013964806","70708.12260394752","","",""
"32555","52889.217332443026","27954.949774130713","71484.1544972373","","",""
"32957","","","","21805.181316265367","20544.160173713164","22926.94619678295"
"33056","51973.57489157994","27567.673074440412","68829.31258166043","","",""
"33557","52873.32506674086","27287.29679695227","71298.13293161416","","",""
"34058","52991.41506811799","27537.760284726042","71674.19664156168","","",""
"34559","53035.259525894064","27653.54393292763","71205.59519096768","","",""
"35060","52897.75729074472","28247.803581468437","69676.47118082712","","",""
"35157","","","","21817.175432599604","20556.557493668603","22932.86748037261"
"35561","53787.125298566214","28086.39059010207","70316.75098675888","","",""
"36062","53417.931055219815","27757.909412183526","71297.12330270543","","",""
"36563","53194.16278478737","27953.64177543341","71418.0552958293","","",""
"37064","52321.95306520671","27923.155298904734","70163.45582038352","","",""
"37357","","","","21985.008286844895","20573.839363061605","22933.873849742875"
"37565","52868.29320146999","27909.21170588565","71185.24471153646","","",""
"38066","52611.8778934107","28297.50477654447","68933.4329228769","","",""
"38567","52449.18730900547","28117.524242060626","70532.35433305308","","",""
"39068","51195.71038855038","28016.898215646142","69253.36895634806","","",""
"39557","","","","21989.0294040945","20579.006159858134","22935.467555580344"
"39569","51295.968122819504","27899.055822374823","69658.68999765767","","",""
"40070","51118.234027400205","27861.953001653386","68931.77534322997","","",""
