"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/sparsity","algo: CAPQL - eval/sparsity__MIN","algo: CAPQL - eval/sparsity__MAX"
"470000","4737","4737","4737","45.13828705689446","19.36284652510714","66.35289319126151"
"480000","4838","4838","4838","37.25455625468495","14.1618269287856","65.88210783066909"
"490000","4939","4939","4939","18.713999155344208","4.691127509302579","26.239789389947017"
"500000","5040","5040","5040","47.09801492015583","14.37547450775124","69.34346979711627"
"510000","5141","5141","5141","31.207145202579067","8.14190942603782","51.483457060681204"
"520000","5242","5242","5242","77.3843072175351","20.350048596307804","156.26181849537892"
"530000","5343","5343","5343","31.47050977876816","17.881750606985523","51.49683694468506"
"540000","5444","5444","5444","28.871561137504955","13.454322607729608","42.71556625710891"
"550000","5545","5545","5545","30.80995121288449","12.812682867608006","55.044996922687616"
"560000","5646","5646","5646","62.490065166930755","4.613690554113774","139.00726431540994"
"570000","5747","5747","5747","122.12354094462334","11.93547873800252","302.95940610816166"
"580000","5848","5848","5848","56.71062486798012","24.62009254912077","115.04798344842763"
"590000","5949","5949","5949","59.432277735164014","21.531746568532146","106.76725008130033"
"600000","6050","6050","6050","62.15092867327883","4.799698787548889","125.90528138069129"
"610000","6151","6151","6151","42.89354972246097","23.21248826742327","76.50080930350255"
"620000","6252","6252","6252","81.19334201880237","7.577196407265524","208.88984763038326"
"630000","6353","6353","6353","277.84069576041196","33.9549091933123","761.3246534465512"
"640000","6454","6454","6454","38.76438159075713","28.13598565766042","46.99383439738453"
"650000","6555","6555","6555","76.37282890307748","2.4345822802126835","213.4744696142596"
"660000","6656","6656","6656","76.30651596502393","32.32848735617082","160.20968043432228"
"670000","6757","6757","6757","40.08827302481054","19.9818184954465","76.20560950715614"
"680000","6858","6858","6858","127.68718459309639","16.269035311689983","320.10704023278873"
"690000","6959","6959","6959","70.75859282475763","7.35922249261568","189.30203171158738"
"700000","7060","7060","7060","37.71427282177209","31.607021394740446","48.68455799515536"
"710000","7161","7161","7161","169.82354321699225","12.942751982985978","348.4642313544046"
